keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""Fully Automated Clotting Analyzer (全自动凝血分析仪"",""i-STAT 1 Portable Clinical Analyzer (手持式血液分析仪"",""pH Measurement System (酸碱度检测系统"",""肌红蛋白、肌钙蛋白、肌酸激酶同工酶检测试剂盒（免疫色谱法） (肌红蛋白、肌钙蛋白、肌酸激酶同工酶检测试剂盒（免疫色谱法）"",""游离甲状腺素测定试剂盒（直接化学发光法）FT4 (游离甲状腺素测定试剂盒（直接化学发光法）FT4"",""皮质醇测定试剂盒（化学发光法）IMMULITE2000 Cortisol (皮质醇测定试剂盒（化学发光法）IMMULITE2000 Cortisol"",""血管缝合器系统Perclose ProGlide Suture- Mediated Closure System (血管缝合器系统Perclose ProGlide Suture- Mediated Closure System"",""正畸丝Archwires (正畸丝Archwires"",""齿科脱敏剂Profluorid Varnish Fluoride-containing dental desensitizing varnish (齿科脱敏剂Profluorid Varnish Fluoride-containing dental desensitizing varnish"",""Soft hydrophilic contact lens (软性亲水性角膜接触镜"",""Soft Cantact Lens (软性亲水接触镜"",""Soft Cantact Lens (软性亲水接触镜"",""Healon, Sterile Viscoelastic Solution for Intraocluar Use (眼用粘弹剂"",""Soft contact lens, daily-wear (软性亲水接触镜"",""Premisa (光固化充填树脂""]"
"[""粘贴型无菌敷料Urgosterile (粘贴型无菌敷料Urgosterile"",""齿科陶瓷Veneering Material (齿科陶瓷Veneering Material"",""脂质水胶敷料Lipido-colloid dressing (脂质水胶敷料Lipido-colloid dressing"",""一次性使用无菌乳胶手术手套Single-use Surgical Gloves (一次性使用无菌乳胶手术手套Single-use Surgical Gloves"",""Latron Primer (血液分析仪用质控品"",""Tourniquet System (止血带系统"",""Tourniquet System (止血带系统"",""BIEN-AIR Turbine (高速手机"",""Dental Straight handpieces (牙科直手机"",""Cart \u0026 Utensil Washer/Disinfector (清洗消毒机"",""PET Image Processsing Software (核医学图像处理软件"",""Implantable Cardioverter Defibrillator (植入式心脏再同步治疗心律转复除颤器"",""Implantable  Pacemaker (植入式心脏起搏器"",""Implantable  Pacemaker (植入式心脏起搏器"",""动脉导管未闭栓塞弹簧圈及放送系统Flipper PDA Closure Detachable Coils \u0026amp; Delivery System (动脉导管未闭栓塞弹簧圈及放送系统Flipper PDA Closure Detachable Coils \u0026amp; Delivery System""]"
"[""动脉导管未闭栓塞弹簧圈及放送系统Flipper PDA Closure Detachable Coils \u0026amp; Delivery System (动脉导管未闭栓塞弹簧圈及放送系统Flipper PDA Closure Detachable Coils \u0026amp; Delivery System"",""交叉韧带重建导向系统ACUFEX PINPOINT Anatomic ACL Guide System (交叉韧带重建导向系统ACUFEX PINPOINT Anatomic ACL Guide System"",""磨头/钻头Burrs/Drills (磨头/钻头Burrs/Drills"",""喷雾器套件Aerosoltherapy accessories (喷雾器套件Aerosoltherapy accessories"",""OptiBond Versa (牙科树脂粘接剂"",""Revolution Formula 2 (光固化复合树脂"",""OptiBond All In One (自酸蚀粘接剂"",""Tooth Whitening Agent (牙齿美白剂"",""松風ダイヤモンドポイントFG Diamond points FG (金刚砂车针"",""X-Force U30 Ureteroscopic Balloon Dilation Catheter (输尿管镜球囊扩张导管"",""Small Bone Powered Instrument Attachments (小骨动力器械附件"",""Extraction Balloons (取石球囊导管"",""止鼾器 (止鼾器"",""脊柱后路固定系统Pass Spinal System (脊柱后路固定系统Pass Spinal System"",""动脉瘤夹Sugita Aneurysm Clip (动脉瘤夹Sugita Aneurysm Clip""]"
"[""钛网融合器PYRAMESH C TITANIUM MESH (钛网融合器PYRAMESH C TITANIUM MESH"",""非骨水泥型股骨柄Quadra System (非骨水泥型股骨柄Quadra System"",""葡萄糖质控品CONTOUR TS Controls (葡萄糖质控品CONTOUR TS Controls"",""血管补片Vascular-Patch (血管补片Vascular-Patch"",""Implantable Cardioverter Defibrillator (植入式心律转复除颤器"",""Operating Telescope and Accessories (手术内窥镜及附件"",""Nephroscope and Accessories (肾镜及附件"",""Cardioblate Surgical Ablation System (外科消融系统"",""移動型アナログ式汎用X線診断装置 (移动式摄影X射线机"",""IMMULITE 2000 Herpes I\u0026II IgG (单纯疱疹病毒I/II型IgG抗体测定试剂盒(化学发光法)"",""ST AIA-PACK free PSA (游离前列腺特异抗原f-PSA检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK CA15-3 (糖类抗原CA15-3检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK CA19-9 (糖类抗原CA19-9检测试剂盒（荧光磁微粒酶免法）"",""RF Liquid Reagent (类风湿因子测定试剂盒(免疫比浊法)"",""Transferrin (TF) Liquid Reagent (转铁蛋白测定试剂盒(免疫比浊法)""]"
"[""PLASMAFILTER (血浆分离器"",""一次性热湿交换器/过滤器 (一次性热湿交换器/过滤器"",""Dental Burs (牙科车针"",""Take 1 Advanced Bite (硅橡胶印模材料"",""Take 1 Advanced Rigid Tray (硅橡胶印模材"",""Sofsilk Wax or Silicone Coated Braided Silk Nonabsorbable Suture (非吸收性丝线"",""Ostomy Care Accessories (造口护理用品附件"",""Lithotripsy Basket (碎石网篮"",""Endoscopically instruments (内窥镜用手术器械"",""Soft contact lens,daily-wear (软性亲水接触镜"",""PTCA导丝PTCA Guide wire HD Ⅱ（日文：PTCAガイドワイヤ- HD Ⅱ） (PTCA导丝PTCA Guide wire HD Ⅱ（日文：PTCAガイドワイヤ- HD Ⅱ）"",""PTCA导丝PTCA Guide Wires (PTCA导丝PTCA Guide Wires"",""组织固定系统Tissue Stabilizer System (组织固定系统Tissue Stabilizer System"",""离心泵泵头AFFINITY CP Centrifugal Blood Pump (离心泵泵头AFFINITY CP Centrifugal Blood Pump"",""ST AIA-PACK CA125 (糖类抗原CA125检测试剂盒（荧光磁微粒酶免法）""]"
"[""ST AIA-PACK CA125 (糖类抗原CA125检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK AFP (甲胎蛋白AFP检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK HBsAb (乙型肝炎病毒表面抗体检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK CEA (癌胚抗原CEA检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK PSA II (前列腺特异抗原PSA检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK HBsAg (乙型肝炎病毒表面抗原检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK HBeAg (乙型肝炎病毒e抗原检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK HBcAb (乙型肝炎病毒核心抗体检测试剂盒（荧光磁微粒酶免法）"",""ST AIA-PACK HBeAb (乙型肝炎病毒e抗体检测试剂盒（荧光磁微粒酶免法）"",""IgM Liquid Reagent (免疫球蛋白M测定试剂盒(免疫比浊法)"",""Urine Acid (UA) Liquid Reagent (尿酸测定试剂盒(酶法)"",""血糖试纸（葡萄糖脱氢酶法）FreeStyle Optium Blood Glucose Test Strips (血糖试纸（葡萄糖脱氢酶法）FreeStyle Optium Blood Glucose Test Strips"",""快速交换球囊扩张导管Sprinter Legend RX(Rapid Exchange) Balloon Dilatation Catheter (快速交换球囊扩张导管"",""Soft Hydrophilic Contact Lens (软性亲水接触镜"",""DUOVISC Viscoelastic System (眼科手术用粘弹剂""]"
"[""DisCoVisc-Ophthalmic Viscosurgical Device (眼科手术用粘弹剂"",""一次性使用动静脉瘘穿刺针 (一次性使用动静脉瘘穿刺针"",""Pericardial Bioprosthesis (生物瓣膜"",""牙钻Dental Drill (牙钻Dental Drill"",""颅颌面外伤固定系统M3 trauma Fixation System (颅颌面外伤固定系统M3 trauma Fixation System"",""钨钢牙科车针Carbide Dental Burs (钨钢牙科车针Carbide Dental Burs"",""脊柱后路棘突固定系统AFFIX Spinous Process Plate System (脊柱后路棘突固定系统AFFIX Spinous Process Plate System"",""水胶体敷料Algoplaque (水胶体敷料Algoplaque"",""膝关节假体延长杆Prosthesis Stems for Extensions (膝关节假体延长杆"",""Dental Curing Light (光固化机"",""CCO/SvO2/CEDV Monitor (监测系统"",""Edi Catheter (膈肌导管"",""Surgical Clipper (外科术前备皮器"",""鼻阻力仪Rhinomanometer (鼻阻力仪"",""Acoustic Rhinometer (鼻声反射仪""]"
"[""超音波軟性胃十二指腸鏡 (超声电子上消化道内窥镜"",""内視鏡ビデオ画像プロセット、内視鏡用ビデオカメラ (内窥镜摄像系统"",""9180 Electrolyte Analyzer (电解质分析仪"",""Prealbumin (PA) Liquid Reagent (前白蛋白测定试剂盒(免疫比浊法)"",""血液分析仪用质控品EIGHTCHECK-3WP (血液分析仪用质控品EIGHTCHECK-3WP"",""负压创伤治疗仪 (负压创伤治疗仪"",""Annuloplasty Ring (心脏瓣膜成形环"",""Bone Plate Fixation System (直型金属接骨板"",""Cranio Maxillofacial System (颅颌面外科内固定系统"",""MEDPOR SURGICAL IMPLANTS-SPHERE (义眼台"",""Bone Wax (骨蜡"",""Revolution Formula 2 (光固化复合树脂"",""V-Loc180 Absorbable Wound Closure Device (可吸收缝合线"",""MANIFOLDS (多联三通板"",""Stopcocks (一次性使用旋塞阀""]"
"[""单髁膝关节系统Unicondylar Sled Prosthesis (单髁膝关节系统"",""硅橡胶印模材料Super Hydrophilic Vinyl Polysiloxane Impression Material (硅橡胶印模材料Super Hydrophilic Vinyl Polysiloxane Impression Material"",""引流管“太平洋”引流管 (引流管“太平洋”引流管"",""灌肠管\""PAHSCO\"" Enema tube (灌肠管\""PAHSCO\"" Enema tube"",""自体血液回输系统耗材AutoLog Autotransfusion System Disposable (自体血液回输系统耗材AutoLog Autotransfusion System Disposable"",""内窥镜用摄像头 (内窥镜用摄像头"",""Computed Tomography System (口腔颌面锥形束计算机体层摄影设备"",""Intra-Ocular Lens (人工晶状体"",""Porcelain Alloys (烤瓷合金"",""Intra-ocular lens (人工晶状体"",""Laryngoscope (喉镜"",""Lens Insertion Devices (人工晶体植入器"",""AMPLATZER Guidewires (导丝"",""Ultimate Vit Enhancer (玻切加速器"",""家庭用电位治疗器STATIC ELECTRIC THERAPY APPARATUS FOR HOME USE (家庭用电位治疗器STATIC ELECTRIC THERAPY APPARATUS FOR HOME USE""]"
"[""藻酸盐敷料Kaltostat Wound Dressing (藻酸盐敷料Kaltostat Wound Dressing"",""接骨螺钉 (接骨螺钉"",""Nasal Spray Decongestant (可调式鼻腔清洗器"",""泡沫敷料Biatain Foam Dressings (泡沫敷料Biatain Foam Dressings"",""P1YA White Blood Cell Set (血细胞分离机分离吸附置换治疗套件"",""P1R Plasma Treatment Set (血细胞分离机分离吸附置换治疗套件"",""PL1 Plasma Exchange Set (血浆置换组件"",""镫骨成形术假体Prostheses for Stapedioplasty (镫骨成形术假体Prostheses for Stapedioplasty"",""鼓室成形术假体Prostheses for Tympanop1asty (鼓室成形术假体Prostheses for Tympanop1asty"",""ECHELON 45 ENDOPATH Stapler Endoscopic Linear Cutter and Reloads (腔镜直线型切割吻合器和钉仓"",""胰岛素泵配件DANA 3cc Syringe (胰岛素泵配件DANA 3cc Syringe"",""FreshLook ONE-DAY Color Soft Contact Lenses (软性亲水接触镜"",""DAILIES AquaComfort Plus One-Day Contact Lenses (软性亲水接触镜"",""Soft contact lens,daily-wear (软性亲水接触镜"",""Intraocular Lens (人工晶状体""]"
"[""Intra-Ocular Lens (人工晶状体"",""DAILIES Total1 Soft Contact Lenses (软性亲水接触镜"",""Pneumatic EVL Device (内镜食道静脉瘤套扎器"",""彩色超声诊断系统Diagnostic Ultrasound System and Transducers (彩色超声诊断系统Diagnostic Ultrasound System and Transducers"",""软性喉镜PORTABLE INTUBATION SCOPES (软性喉镜PORTABLE INTUBATION SCOPES"",""台式培养箱Benchtop Incubator (台式培养箱Benchtop Incubator"",""眼压计Tonometer (眼压计Tonometer"",""牙科综合治疗台Dental Treatment Unit (牙科综合治疗台Dental Treatment Unit"",""刨削系统Shaver System (刨削系统Shaver System"",""泡沫敷料Biatain Foam Dressings (泡沫敷料Biatain Foam Dressings"",""球囊扩张支架系统RX Herculink Elite Renal and Biliary Stent System (球囊扩张支架系统"",""Trillium AFFINITY NT Integrated CVR/Membrane Oxygenator (集成CVR膜式氧合器"",""Dermatix Ultra Gel (硅凝胶"",""医用臭氧治疗仪Ozone Therapy Devices (医用臭氧治疗仪Ozone Therapy Devices"",""医用臭氧治疗仪Ozone Therapy Devices (医用臭氧治疗仪Ozone Therapy Devices""]"
"[""医用臭氧治疗仪Ozone Therapy Devices (医用臭氧治疗仪Ozone Therapy Devices"",""Mobile X-ray systems (移动式C形臂X射线机"",""Quadrox-i Oxygenators and Reserviors (集成式膜式氧合器和动脉过滤器及静脉贮血器"",""脉搏血氧饱和度传感器SpO2 Sensor (脉搏血氧饱和度传感器SpO2 Sensor"",""节段性脊柱矫形系统 (节段性脊柱矫形系统"",""Pecopen hemofilters (空心纤维血液透析滤过器"",""T-组合婴儿复苏器 (T-组合婴儿复苏器"",""Dental Implant (牙科种植体"",""Tooth Whitening System (牙齿美白系统"",""Quill Monoderm Knotless Tissue-Closure Device (可吸收性外科缝线"",""Instopper (输液用肝素帽"",""Shunt System and Valve for Hydrocephalus (一次性使用无菌脑积水分流器"",""NC Emerge Over-The-Wire PTCA Dilatation Catheter (PTCA扩张导管"",""动态心电分析软件Holter Analysis Workstation (动态心电分析软件Holter Analysis Workstation"",""动脉采血器Arterial Blood Collection Syringe (动脉采血器Arterial Blood Collection Syringe""]"
"[""糖化血红蛋白层析柱COLUMN UNIT (糖化血红蛋白层析柱COLUMN UNIT"",""尿有形成份检测质控品AUTION Control Solution (尿有形成份检测质控品AUTION Control Solution"",""血压脉波检查仪Non invasive blood pressure instruments for determination of ABI (血压脉波检查仪Non invasive blood pressure instruments for determination of ABI"",""医用臭氧治疗仪Ozone Therapy Devices (医用臭氧治疗仪Ozone Therapy Devices"",""V-Loc 90 Absorbable Wound Closure Device (可吸收伤口缝合线"",""钛质通气管Ventilation Tubes made of Titanium (钛质通气管Ventilation Tubes made of Titanium"",""Acumed Anatomic Radial Head System (解剖型桡骨头假体"",""Polyurethane CVC Infusion Catheters and Accessories (中心静脉导管及附件"",""POWER INJECTABLE IMPLANTABLE INFUSION PORT (植入式给药装置"",""空心螺钉及配件 (空心螺钉及配件"",""Ultraflex Esophageal NG Stent System (食管支架系统"",""颅骨固定系统Titanium Cranial Fixation system (颅骨固定系统Titanium Cranial Fixation system"",""Modular Rotating Hinge Knee Systems (膝关节假体组件"",""空心纤维血液透析器Fresenius Polysulfone Capillary Dialysers (空心纤维血液透析器Fresenius Polysulfone Capillary Dialysers"",""碱磷酶同工酶测定试剂盒（电泳法） (碱磷酶同工酶测定试剂盒（电泳法）""]"
"[""NC PTCA 球囊扩张导管 (NC PTCA 球囊扩张导管"",""AMPLATZER VSD Occluder (室间隔缺损封堵器"",""PTA Balloon Catheter (PTA球囊导管"",""Aortic Punch (打孔器"",""Rongeurs (椎板咬骨钳"",""EMG/EP Monitor System (肌电/诱发电位监测系统"",""电动间歇牵引装置Traction Unit (电动间歇牵引装置Traction Unit"",""血红蛋白样本收集卡HemoCue Hb 301 Microcuvettes (血红蛋白样本收集卡HemoCue Hb 301 Microcuvettes"",""雾化加热装置Nebulizer Heater (雾化加热装置Nebulizer Heater"",""植入式神经刺激器Implantable Neurostimulator (植入式神经刺激器Implantable Neurostimulator"",""可充电植入式神经刺激器Rechargeable Implantable Neurostimulation System (可充电植入式神经刺激器Rechargeable Implantable Neurostimulation System"",""患者程控仪Patient Programmer (患者程控仪Patient Programmer"",""\u0026lt;p\u0026gt;全自动微生物质谱检测系统\u0026lt;/p\u0026gt; (\u0026lt;p\u0026gt;全自动微生物质谱检测系统\u0026lt;/p\u0026gt;"",""全自动酶标仪Microlab F.A.M.E. (全自动酶标仪Microlab F.A.M.E."",""牙科X射线摄影用影像板成像装置Digital Intraoral Imaging Plate system (牙科X射线摄影用影像板成像装置Digital Intraoral Imaging Plate system""]"
"[""神经监护气管插管EMG Endotracheal Tube (神经监护气管插管EMG Endotracheal Tube"",""Filter-HME (一次性湿热交换器/过滤器"",""神经外科内窥镜系统 (神经外科内窥镜系统"",""SynMesh (钛网"",""VEPTR (纵向胸廓成形人工钛肋系统"",""Clydesdale Spinal System (椎间融合器"",""面部填充种植体MEDPOR SURGICAL IMPLANTS (面部填充种植体"",""呼吸机Ventilator (呼吸机Ventilator"",""LIGHT-CURE HARD COMPOSITE RESIN FOR CROWN AND BRIDGE (冠桥用光固化硬质复合树脂"",""Single patient use medical nebuliser and tubing (一次性使用雾化器及管路"",""Sleep Diagnostics Recorder (睡眠记录仪"",""Compressible Limb Therapy System (压力治疗系统"",""Cortical Stimulator (大脑皮层刺激器"",""呼吸无线测量仪Cableless Respiration Pod (呼吸无线测量仪"",""Dr.Camscope 3D (三维内窥镜摄像系统""]"
"["" (光学相干断层扫描仪"",""Flexiva High Power Single-Use Laser Fiber (一次性使用无菌激光光纤"",""Flexiva TracTip High Power Single-Use Laser Fiber (一次性使用无菌激光光纤"",""眼科激光传输系统Scanning Delivery System for Ophthalmic Laser (眼科激光传输系统Scanning Delivery System for Ophthalmic Laser"",""喷砂洁牙机Dental Scaler and Air Polisher (喷砂洁牙机Dental Scaler and Air Polisher"",""革兰阴性细菌药敏卡片VITEK 2 AST-N335 (革兰阴性细菌药敏卡片VITEK 2 AST-N335"",""颈椎椎间隙植入物DCI Dynamic Cervical Implants (颈椎椎间隙植入物DCI Dynamic Cervical Implants"",""植入式脑神经刺激系统适配器Pocket adaptor kit for deep brain stimulation (植入式脑神经刺激系统适配器Pocket adaptor kit for deep brain stimulation"",""一次性使用静脉留置针Shielded I.V. Cannula with Injection Port designed to minimize inadvertent needle sticks (一次性使用静脉留置针Shielded I.V. Cannula with Injection Port designed to minimize inadvertent needle sticks"",""无菌透明输液敷料Askina soft clear IV (无菌透明输液敷料Askina soft clear IV"",""Spinal needle for spinal and diagnostic puncture (一次性使用腰椎穿刺针"",""Transcranial and Peripheral Vascular Doppler System (经颅及周围血管多普勒诊断系统"",""Transcranial and Peripheral Vascular Doppler System (经颅及周围血管多普勒诊断系统"",""牙科硅橡胶弹性印模材料Dentistry-Silicone Impression Materials (牙科硅橡胶弹性印模材料Dentistry-Silicone Impression Materials"",""一次性使用中心静脉导管包Central Venous Catheter Set (一次性使用中心静脉导管包""]"
"[""一次性使用中心静脉导管包Central Venous Catheter Set (一次性使用中心静脉导管包"",""软性亲水接触镜 (软性亲水接触镜"",""软性亲水接触镜 (软性亲水接触镜"",""人工心脏瓣膜 (人工心脏瓣膜"",""人工心脏瓣膜 (人工心脏瓣膜"",""腹膜透析导管及附件 (腹膜透析导管及附件"",""外周血管支架系统 (外周血管支架系统"",""超声针头Phaco needle (超声针头"",""腹腔镜用穿刺器Trocars for laparoscope use (腹腔镜用穿刺器"",""分枝杆菌用吡嗪酰胺药敏试剂盒(综合气体检测法)VersaTREK Myco PZA Kit (分枝杆菌用吡嗪酰胺药敏试剂盒(综合气体检测法)"",""葡萄糖校准品Antsense Calibrator (葡萄糖校准品"",""甲型/乙型流感病毒核酸质控品 (甲型/乙型流感病毒核酸质控品"",""Thermacare Heatwraps (热敷理疗贴"",""Diagnostic X-ray System (数字化医用X射线摄影系统"",""Albumin BCP Calibrator (白蛋白校准品""]"
"[""Fructosamine Reagents(FRUC) (果糖胺测定试剂盒（氧化酶法）"",""ToxAmmonia Calibrator (氨/乙醇校准液"",""AQT90 FLEX βhCG Test Kit (β人绒毛膜促性腺激素测试卡（时间分辨免疫荧光法）"",""CareSens PRO Blood Glucose Monitoring System (血糖仪"",""眼科半导体激光光凝机Ophthalmic Photocoagulator (眼科半导体激光光凝机Ophthalmic Photocoagulator"",""自体血液回收装置耗材Electa Autotransfusion Set (自体血液回收装置耗材Electa Autotransfusion Set"",""一次性头皮式输液针単回使用一般静脈用翼付针 (一次性头皮式输液针単回使用一般静脈用翼付针"",""化学固化粘接剂Para Bond Adhesive (化学固化粘接剂Para Bond Adhesive"",""医用泌尿X射线系统 (医用泌尿X射线系统"",""口腔颌面锥形束计算机体层摄影设备Medical Dental X-ray Equipment (口腔颌面锥形束计算机体层摄影设备Medical Dental X-ray Equipment"",""陶瓷股骨头（商品名：BIOLOX DELTA）BIOLOX DELAT Ceramic Femoral Head (陶瓷股骨头（商品名：BIOLOX DELTA）"",""微量白蛋白质控品MICROALBUMIN LIQUID CONTROLS (mALB CONTROL) (微量白蛋白质控品"",""免疫抑制药物质控品PreciControl ISD (免疫抑制药物质控品"",""葡萄糖检测试剂盒(葡萄糖氧化酶法)Antsense CAP Membrane (葡萄糖检测试剂盒(葡萄糖氧化酶法)"",""心肌肌钙蛋白I测试卡片(干式电化学法)i-STAT cTnI Cartridge (心肌肌钙蛋白I测试卡片(干式电化学法)""]"
"[""急诊11项测试卡片(干式电化学法)i-STAT CHEM8+ Cartridge (急诊11项测试卡片(干式电化学法)"",""医用导电膏/心電図用ペーストカルジオクリーム (医用导电膏/心電図用ペーストカルジオクリーム"",""ABL9 Blood gas electrolyte and metabolite analyzer (血气分析仪"",""全自动干式生化分析仪 (全自动干式生化分析仪"",""Resection Pump (医用抽吸泵"",""Oxygen Concentrator (制氧机"",""Curing light devices (LED光固化机"",""Files (根管锉针"",""Pola Night Tooth Whitening System (牙齿美白系统"",""Dental Coping Sheet (牙胶片"",""Waterproof Bandages (防水创可贴"",""除颤监护仪Defibrillator/Monitor (除颤监护仪Defibrillator/Monitor"",""革兰阴性细菌药敏卡片VITEK 2 AST-N334 (革兰阴性细菌药敏卡片VITEK 2 AST-N334"",""全自动生化分析仪Automatic Chemistry Analyzer (全自动生化分析仪Automatic Chemistry Analyzer"",""牙科高频电刀電刀 (牙科高频电刀電刀""]"
"[""牙科高频电刀電刀 (牙科高频电刀電刀"",""总胆固醇试纸(干化学法)Total Cholesterol strips (总胆固醇试纸(干化学法)Total Cholesterol strips"",""纤溶酶抑制物检测试剂盒（发色底物法）HemosIL Plasmin Inhibitor (纤溶酶抑制物检测试剂盒（发色底物法）HemosIL Plasmin Inhibitor"",""D-二聚体测定试剂盒（免疫比浊法）HemosIL D-Dimer (D-二聚体测定试剂盒（免疫比浊法）HemosIL D-Dimer"",""复合可吸收螺钉系统BioComposite Tenodesis Screw System (复合可吸收螺钉系统BioComposite Tenodesis Screw System"",""移动式数字摄影X射线机Mobile Digital Radiographic X-ray system (移动式数字摄影X射线机Mobile Digital Radiographic X-ray system"",""凝血素抗体检测试剂盒（酶联免疫法）AESKULISA®Prothrombin-GM (凝血素抗体检测试剂盒（酶联免疫法）AESKULISA®Prothrombin-GM"",""蛋白电泳试剂盒QuickGel®Split Beta SPE Kit (蛋白电泳试剂盒QuickGel®Split Beta SPE Kit"",""胆固醇试纸（胆固醇氧化酶法）Easy Touch Blood Cholesterol Test Strips (胆固醇试纸（胆固醇氧化酶法）Easy Touch Blood Cholesterol Test Strips"",""颈椎固定系统“Aaxter”Cervical Fixation System (颈椎固定系统“Aaxter”Cervical Fixation System"",""耳部填充种植体MEDPOR SURGICAL IMPLANTS (耳部填充种植体"",""宫腔镜组织切除系统MyoSure Hysteroscopic Tissue Removal System (宫腔镜组织切除系统MyoSure Hysteroscopic Tissue Removal System"",""In Vitro Fertilization (IVF) Plasticware (Tissue-Culture Treated) (体外受精培养皿(组织培养处理)"",""Natural Latex Powdered and Powder-free Sterile Surgical Gloves (一次性使用灭菌橡胶外科手套"",""Tracheostomy Tube (气管切开套管""]"
"[""Pen needles type 810 Heamofine (胰岛素笔用针头"",""Monitor Defibrillator (除颤监护仪"",""Flexible Bronchoscope and Accessories (支气管纤维内窥镜及附件"",""动力系统Motor System-Unidrive GYN (动力系统Motor System-Unidrive GYN"",""植入式脊髓神经刺激电极导线套件Implantable Spinal Cord Stimulation Lead Kit (植入式脊髓神经刺激电极导线套件Implantable Spinal Cord Stimulation Lead Kit"",""多电极测试电缆Multi-Lead Trialing Cable (多电极测试电缆Multi-Lead Trialing Cable"",""宫腔电切镜及附件Endoscopes of Gynecology and Accessories (宫腔电切镜及附件Endoscopes of Gynecology and Accessories"",""刺激探头Stimulating Probe (刺激探头Stimulating Probe"",""视力检查器レフラクタ (视力检查器レフラクタ"",""吞咽障碍治疗仪Nerve and Muscle Stimulators (吞咽障碍治疗仪Nerve and Muscle Stimulators"",""抗心磷脂IgM抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- Cardiolipin IgM (抗心磷脂IgM抗体检测试剂盒(化学发光免疫分析法)HemosIL AcuStar Anti- Cardiolipin IgM"",""抗sp100抗体检测试剂盒（酶联免疫法）QUANTA Lite sp100 ELISA (抗sp100抗体检测试剂盒（酶联免疫法）QUANTA Lite sp100 ELISA"",""凝血质控品（水平2）HemosIL Special Test Control Level 2 (凝血质控品（水平2）HemosIL Special Test Control Level 2"",""纤维蛋白原测定试剂盒（凝固法）HemosIL Fibrinogen-C (纤维蛋白原测定试剂盒（凝固法）HemosIL Fibrinogen-C"",""凝血质控品(水平1)HemosIL Special Test Control Level 1 (凝血质控品(水平1)HemosIL Special Test Control Level 1""]"
