keywords
""
"[""远红外磁疗贴"",""一次性使用输氧管"",""钾离子测定试剂盒(速率法)"",""可视喉镜"",""矫形(骨科)外科钻头"",""医用超声耦合剂"",""电磁波防护裙"",""消毒棉签"",""一次性使用内镜抓钳"",""会阴剪"",""超声诊断系统"",""医用镊"",""探针"",""疝气治疗带"",""医用固定带""]"
"[""MDSP言语电声门图信号采集仪"",""丙氨酸氨基转移酶测定试剂盒（IFCC推荐法)"",""一次性使用呼吸过滤器包"",""一次性使用手术包"",""一次性使用肺通气导入管"",""医用"",""Ⅱ型股骨逆行髓内钉专用工具包"",""股骨髓内钉器械包"",""医用电动病人转运车"",""一次性自动线形吻合器及组件"",""定制式活动义齿"",""鼻氧管式氧气湿化器"",""骨科牵引架"",""病床"",""高密度脂蛋白胆固醇检测试剂盒(直接法)""]"
"[""低密度脂蛋白胆固醇检测试剂盒（终点法）"",""言语功能检测处理系统"",""肌酸激酶测定试剂盒(速率法)"",""手术无影灯"",""医用中心供氧系统"",""气压弹道式体外冲击波治疗仪"",""一次性使用吸氧管"",""DB系列多功能电动护理病床"",""颈肩腰腿痛贴(已注销)"",""一次性使用产包"",""一次性使用手术包"",""一次性正压式多用灌洗器"",""退热贴"",""碘伏棉球"",""天泽综合理疗仪""]"
"[""一次性使用医用吸引管"",""总β人绒毛膜促性腺激素（Total"",""三角巾"",""一次性使用牙科器械盒"",""微创锁定接骨板系统器械包"",""医用绷带"",""酒精棉球"",""定制式固定义齿"",""腰肌劳损贴"",""腺苷脱氨酶测定试剂盒(酶法）"",""全玻璃灌肠器"",""骨刮匙(商品名：刮匙)"",""持针钳"",""开口器"",""一次性2%葡萄糖洗必泰消毒棉棒""]"
"[""冰袋"",""躯干压力套"",""显微冲洗针"",""腺苷脱氨酶（ADA）测定试剂盒（速率法）"",""小型医用制氧机"",""引流液收集器(太平洋"",""总蛋白测定试剂盒（双缩脲法）"",""天门冬氨酸氨基转移酶测定试剂盒（IFCC推荐法）"",""输液泵"",""无机磷测定试剂盒（紫外法）"",""防褥疮气床垫"",""类风湿因子（RF)测定试剂盒（胶乳凝集法)"",""血清果糖胺测定试剂盒（硝基四氮唑蓝法)"",""脑波同步治疗仪(商品名:脑波治疗仪)"",""旋转石蜡切片机""]"
"[""筒形肛门镜"",""铝合金椅式担架"",""定制式固定义齿"",""体外冲击波碎石机"",""微型电动手术吸引刀"",""医用打印胶片(商品名称：康銘干式胶片)"",""低密度脂蛋白胆固醇（LDL-C)测定试剂盒（直接酶法)"",""立式手术无影灯"",""手术显微镜"",""压缩式雾化器"",""下肢内固定安装器械包"",""一次性使用检查手套"",""一次性使用湿化瓶"",""一次性使用无菌硅胶导尿管"",""臂式全自动电子血压计""]"
"[""DS系列全自动生化分析仪"",""一次性使用气管插管"",""硅胶眼科植入物"",""角度型接骨板"",""定制式义齿"",""无机磷检测试剂（钼蓝比色法）"",""一次性使用硅橡胶脑科吸引管"",""一次性使用肛门管"",""一次性使用吸痰管"",""抗酸染色液"",""退热走珠器"",""103型保健带"",""空气肢体压力治疗仪"",""骨生长富集器"",""磁针治疗贴""]"
"[""数字移动式C形臂X射线机"",""硅凝胶疤痕贴片"",""髁上髓内钉器械包"",""DCS/DHS鹅头钉接骨板成套手术器械包"",""糖化血红蛋白测定试剂盒(胶乳增强免疫比浊法)"",""丙氨酸氨基转移酶测定试剂盒(连续监测法)"",""活动修复体"",""活动修复体"",""铜离子检测试剂盒(比色法)"",""尿沉渣分析仪用稀释液"",""医用肛门袋、肛门垫"",""葡萄糖测定试剂盒（葡萄糖氧化酶法）"",""一次性使用吸痰包"",""泌乳素(PRL)定量检测试剂盒(化学发光法)"",""正畸带环颊面管""]"
"[""创可贴"",""医用镊(非无菌)"",""厢式X射线机"",""一次性使用麻醉机和呼吸机用呼吸管路"",""组织钳"",""持针钳"",""解剖镊"",""LED医学影像照片观察灯"",""一次性使用血液透析敷料包"",""巧克力色琼脂培养基"",""淋球菌选择培养基"",""解脲脲原体和人型支原体培养鉴定、计数、药敏试剂盒"",""一次性使用透析护理包"",""低密度脂蛋白胆固醇测定试剂盒（直接酶法）"",""VTS型视功能检查治疗仪""]"
"[""高密度脂蛋白胆固醇测定试剂盒(直接法)"",""负压定位垫"",""一次性使用肛门镜"",""数字式心电图机"",""壁挂式诊断系统"",""数字"",""医用纱布敷贴"",""直接胆红素测定试剂盒（酶法）)"",""α-淀粉酶测定试剂盒（连续监测法）"",""医用脱脂纱布"",""低密度脂蛋白胆固醇测定试剂盒(直接测定法)"",""总胆红素(对氨基苯磺酸重氮盐法)试剂盒(3)"",""丙氨酸氨基转移酶测定试剂盒（赖氏法)"",""L-γ-谷氨酰基转移酶（GGT)测定试剂盒(速率法)"",""同型半胱氨酸测定试剂盒（酶法)""]"
"[""人绒毛膜促性腺激素（HCG)检测试纸（胶体金法)"",""床头牵引架"",""电子体温计"",""定制式固定义齿"",""定制式活动义齿"",""一次性使用口腔包"",""高清干式胶片"",""一次性使用负压引流器"",""医用电动锯、钻"",""纤维蛋白(原)降解产物(FDP)测定试剂盒(免疫增强比浊法)"",""吸引切割器"",""一次性使用手术衣"",""医用推车"",""定制式活动义齿"",""鼓式自锁取皮机""]"
"[""植骨块嵌入器"",""肌酸激酶同功酶检测试剂（UV法）"",""刮匙"",""牵开器"",""清洗消毒机"",""血液细胞仪用清洗液"",""多参数监护仪"",""盆底肌训练仪"",""数字化多功能脑电图仪"",""一次性使用离心吊篮"",""手术头架"",""SS琼脂平板培养基"",""一次性使用呼吸过滤器"",""血液分析仪应用试剂：稀释液"",""总胆汁酸（TBA）测定试剂盒（循环酶法）""]"
"[""调压式微创冲洗引流管"",""全自动生化分析仪"",""一次性使用医用橡胶检查手套"",""一次性薄膜（PE）手套"",""导管固定器"",""金属烤瓷固定修复体"",""全瓷义齿固定修复体"",""细菌性阴道病联合测定试剂盒（干化学酶法）"",""治疗型静脉曲张袜"",""医学影像存储与通讯软件系统（PACS)"",""一次性使用止血带"",""医用棉签"",""甲胎蛋白（AFP)定量测定试剂盒（化学发光法)"",""低密度脂蛋白胆固醇（LDL—C）测定试剂盒（直接法）"",""微型内窥镜视频系统""]"
"[""II级生物安全柜"",""载脂蛋白A1（ApoA1）"",""B型超声诊断仪"",""全数字便携式超声诊断系统"",""网状头套"",""一次性无菌治疗巾"",""自固定牵开器"",""DAB染色液（多聚物法)"",""软性亲水接触镜"",""小切口无损伤镊"",""充气式颈椎牵引器"",""阴道填塞止血吸附栓"",""电池式电动钻锯"",""心肌镊"",""医用脱脂棉""]"
"[""髙密度脂蛋白胆固醇（HDL-C)测定试剂盒（直接酶法)"",""直接胆红素检测试剂盒（亚硝酸钠法)"",""WJD系列担架"",""骨刮匙"",""医用X射线牙科胶片"",""颈椎牵引器"",""软性亲水接触镜"",""XLD平板"",""定制式固定义齿"",""定制式固定义齿"",""定制式固定义齿"",""定制式固定全瓷义齿"",""连体式牙科综合治疗机"",""手术无影灯"",""肌酐测定试剂盒(动力法)""]"
"[""葡萄糖测定试剂盒（己糖激酶法）"",""总胆固醇测定试剂盒（酶法）"",""高密度脂蛋白胆固醇检测试剂盒（终点法）"",""肌酸激酶同工酶检测试剂盒（速率法）"",""T7系列全电动油压多功能手术台"",""医用保健制氧机"",""医用电动病床"",""B群链球菌显色平板"",""定制式固定义齿"",""便携式彩色多普勒超声系统"",""止"",""妇科专用床"",""金属烤瓷固定修复体"",""HR型全自动洗片机"",""TS型全自动软片洗片机""]"
"[""无创颅内压监测仪"",""复合碘医用消毒棉签棉球"",""乳酸脱氢酶测定试剂盒（连续监测法，DGKC推荐）"",""股骨带锁髓内钉专用器械"",""异物钳"",""一次性引流袋"",""一次性使用硅胶导尿管"",""医用绷带"",""耳鼻咽喉科诊疗台"",""显微基础外科成套手术器械"",""固定修复体"",""牙科用钴铬烤瓷合金(商品名：JINBEGO-C)"",""一次性使用鼻氧管"",""一次性使用胃管"",""上皮细胞FH染色试剂""]"
"[""医用纱布块"",""多功能雾化用氧气吸入器"",""抗酸染液"",""医用纸质胶片"",""二氧化碳测定试剂盒（PEPC酶法）"",""高密度脂蛋白胆固醇测定试剂盒（直接酶法）"",""脑循环分析仪"",""裂隙灯显微镜"",""碘伏棉球"",""病理特殊染色液套组"",""α-淀粉酶测定试剂盒（对-硝基苯麦芽七糖法)"",""医用X射线胶片机洗浓缩液套药"",""SK型医用床"",""救护车担架"",""胸科急救器械包""]"
"[""定制式固定义齿"",""纤维鼻咽喉镜"",""金标数码定量分析仪"",""一次性使用备皮包"",""一次性使用负压引流器"",""一次性使用手术衣"",""定制式固定义齿"",""纱布绷带"",""一次性使用子母式集尿袋"",""医用固定带"",""一次性使用加强气管插管"",""荷包成型器"",""一次性使用吸引管"",""一次性使用灌肠包"",""电动手术台""]"
"[""定制式固定义齿"",""舌杆"",""载脂蛋白B测定试剂盒(免疫比浊法)"",""5′-核苷酸酶测定试剂盒(酶比色法)"",""定制式正畸矫治器/保持器"",""电动轮椅车"",""创可贴"",""尿液有形成分分析仪试剂包"",""数字乳腺X射线系统"",""普通病床"",""精子采样管"",""直接胆红素测定试剂盒(钒酸盐氧化法)"",""一次性使用胃镜检查包"",""嘴形撑开器"",""探针""]"
"[""胆道吸引管"",""一次性使用消毒棉棒"",""一次性使用输液器"",""抗链球菌溶血素O测定试剂盒（免疫比浊法）"",""乙型肝炎病毒YMDD基因突变检测试剂盒(荧光PCR法)"",""一次性使用中心静脉导管包"",""高频电刀"",""固定修复体"",""肌酸激酶同工酶（CK—MB）测定试剂（盒）（免疫抑制法）"",""二氧化碳激光治疗机"",""医用骨夹板"",""根管充填器"",""医用分子筛制氧供气系统"",""透明创面敷料，英文名:Tranparent"",""一次性医用防护口罩""]"
"[""体外冲击波碎石机"",""铁测定试剂盒（比色法）"",""医用牵引带"",""消融电极(外科术中止血装置)"",""热敷磁疗带"",""一次性使用无菌敷料块"",""一次性使用无菌换药包"",""一次性使用无菌手术衣"",""一次性使用无菌手术包"",""图像后处理工作站"",""医用棉球"",""D-二聚体检测试剂盒（乳胶增强免疫透射比浊法)"",""定制式活动义齿"",""人绒毛促性腺激素（HCG)检测试剂（胶体金法)"",""数字化脑电图仪""]"
"[""一次性使用肛门管"",""一次性使用肛管"",""吊式手术无影灯"",""牙挺"",""细丝切断钳"",""口腔麻醉注射架"",""咬骨钳"",""4.5/3.5空心钉通用安装器械包"",""医用牵引带"",""医用病床"",""套装式一次性宫腔组织吸引管"",""一次性使用导尿包"",""颈椎拉钩专用器械"",""医用牵引带"",""医用病床""]"
"[""一次性使用阴道给药器"",""颈椎牵引器"",""C型系列颈椎矫形器"",""妇科诊察床"",""一次性使用吸引管"",""全自动免疫检测用化学发光底物液"",""糖原染色液"",""固定义齿"",""定制式活动义齿"",""一次性使用产科敷料包"",""全自动上臂式血压计"",""一次性使用体外引流袋"",""固定修复体"",""骨凿"",""听诊器""]"
"[""颈椎牵引固定器(商品名：维核.气垫式颈椎牵引固定器)"",""前白蛋白测定试剂盒（免疫比浊法）"",""高密度脂蛋白胆固醇（HDL—C）测定试剂盒（选择性抑制法）"",""便隐血检测试剂（胶体金法）"",""牙科铸钛包埋料"",""多功能组合式骨外固定支架"",""酒精擦"",""促甲状腺激素(TSH)定量检测试剂盒(化学发光法)"",""阴道冲洗器(商品名：洁尔冲洗器)"",""放射诊断拍片床"",""医用摄片架"",""包皮环切套扎手术器械"",""医用外固定夹板"",""医用脱脂棉"",""牙科X射线机""]"
"[""尿素氮测定试剂盒（脲酶偶联速率法）"",""医用敷料包"",""糖化血红蛋白（HbA1c）检测试剂盒（免疫层析法）"",""乙醇测定试剂盒（酶偶联速率法）"",""辊轴取皮刀"",""电池式医用电动钻锯"",""酶标仪"",""骨锉"",""甘油三酯诊断试剂盒(酶法)"",""淋巴结钳"",""人工晶体定位钩"",""冷光孔式手术无影灯"",""防褥疮气床垫"",""防褥疮气床垫"",""医用气垫""]"
"[""扇形器"",""单道血流图仪"",""医用固定带"",""一次性使用气管支气管插管（商品名：支气管双腔导管)"",""内窥镜一次性使用护套系统"",""医用中心吸引系统"",""壳聚糖妇用抗菌栓(敷料)"",""壳聚糖妇用抗菌凝胶(敷料)"",""眼科超声影像工作站"",""医用橡皮膏"",""雌二醇(E2)定量测定试剂盒(磁微粒分离化学发光法)"",""XT-X系列手术显微镜"",""免疫球蛋白A测定试剂盒(免疫透射比浊法)"",""JXC6000系列移动式X射线成像系统"",""定制式活动义齿""]"
"[""卧式圆形压力蒸汽灭菌器"",""一次性使用采血针"",""CR-EG系列电动妇科台"",""CR-EHY系列电动手术台"",""无创呼吸机"",""一次性使用无菌孔巾"",""金属义齿固定修复体"",""全自动医用低速离心机"",""医用吊塔"",""NS"",""医用外科口罩"",""一次性无菌透析护理包"",""一次性使用口腔包"",""肛肠疾病治疗机"",""医用热敷贴""]"
"[""医用纱布绷带"",""医用棉签"",""带锁髓内钉"",""ES型多功能电动病床"",""特种蛋白质控品"",""α-L-岩藻糖苷酶测定试剂盒(连续监测法）"",""气囊式创口贴"",""消毒棉球"",""一次性使用灌肠袋"",""肌酸激酶MB同工酶检测试剂盒（免疫抑制法）"",""牙刮匙"",""子宫颈扩张器"",""医用病床"",""医用夹板"",""牵开器""]"
"[""剥离器"",""骨锯"",""医用牵引带"",""载脂蛋白A-1测定试剂盒（免疫透射比浊法)"",""铝合金手动轮椅车"",""卧式圆形压力蒸汽灭菌器"",""血管紧张素转化酶测定试剂盒（FAP法）"",""低频电子脉冲治疗仪"",""吊式手术无影灯"",""喉内窥镜图像检测处理系统"",""螺旋钉器械"",""大肠杆菌O157筛选显色平板"",""医用X射线摄片机"",""X射线诊断设备"",""远红外电热理疗仪(商品名：脉阳频谱保健理疗仪)""]"
"[""医用病床"",""一次性使用医用记号笔"",""定制式固定义齿"",""定制式活动义齿"",""抗菌功能性敷料(贴)"",""定制式固定全瓷义齿"",""定制式活动义齿"",""定制式固定义齿"",""普通型医用膝部固定套"",""医用拐杖"",""免疫球蛋白(lgG)测定试剂盒(免疫比浊法)"",""高密度脂蛋白胆固醇测定试剂盒（直接法）"",""载脂蛋白B检测试剂盒（比浊法）"",""妊娠（早早孕）诊断试剂盒"",""游离三碘甲状腺原氨酸(FT3)诊断试剂盒(化学发光法)""]"
"[""支原体检测试剂"",""心电工作站"",""多"",""总胆汁酸TBA"",""总蛋白测定试剂盒(双缩脲法)"",""组织样本处理液"",""医用纸胶带"",""机用根管螺旋输送器"",""营养琼脂培养基"",""巧克力培养基"",""血糖试条"",""载脂蛋白A1检测试剂盒（比浊法）"",""全数字掌上超声诊断仪"",""全数字超声诊断系统"",""固定修复体""]"
"[""废液收集袋"",""骨刀（锤）"",""妇产科手术器械"",""正畸测力计"",""拉钩装置器"",""塑制肛门镜"",""胆道插管引导器"",""医用锁骨固定带"",""手术无影灯"",""转铁蛋白(TRF)检测试剂盒(胶体金法)"",""医用输液贴"",""妇科检查垫"",""退热贴"",""肌酸激酶测定试剂盒（连续监测法，IFCC推荐）"",""热敷贴""]"
"[""一次性使用去白细胞滤器"",""瓶口贴"",""高分子固定垫"",""一次性使用换药盒"",""总胆固醇单试剂测定试剂盒（COD-CE-PAP法）"",""尿酸单试剂测定试剂盒（URO-PAP法）"",""酒精棉球"",""研光器"",""显微持针钳"",""显微镊"",""磁、热、按摩理疗仪"",""医用X射线影像增强器"",""高频手术电极(商品名：高频手术电刀柄)"",""鼻粘膜刀"",""骨探针""]"
"[""脑压板"",""综合组织剪"",""数字彩色超声诊断设备"",""眼用拉钩"",""耳背式助听器（数字大功率)"",""椎体融合器安装器械包"",""一次性使用无菌手术包(薄型粘合法非织造布)"",""一次性使用无菌垫单(薄型粘合法非织造布)"",""骨凿"",""钙试剂盒(邻-甲酚酞络合酮法)"",""谷氨酸脱氢酶试剂盒(改良DGKC方法)"",""a-羟丁酸脱氢酶(HBDH)"",""丙氨酸氨基转移酶试剂盒(ALT)"",""卡波姆湿性修复功能性敷料(贴)"",""肩关节外固定支具""]"
"[""二氧化碳(CO2)吸收器"",""股骨撑开器"",""拉钩(商品名：瞬锋急救)"",""冷敷贴"",""YBS系列综合手术台"",""碱性磷酸酶测定试剂盒(IFCC推荐方法)"",""导钻"",""扁桃体拉钩及剥离子"",""遥控X线透视机"",""定制式固定义齿"",""手术无影灯"",""医用棉垫"",""医用脱脂纱布块"",""医用脱脂纱布块"",""HyLED系列手术无影灯""]"
"[""HEDC系列多功能电动产床"",""HED系列电动手术台"",""腹膜透析清洁仓"",""医用棉签"",""医用中心供氧系统"",""一次性使用纯硅胶球囊导尿管"",""固定修复体"",""总胆固醇检测试剂盒（氧化酶法）"",""葡萄糖测定试剂盒（己糖激酶法）"",""总胆固醇测定试剂盒（氧化酶法）"",""水胶体创可贴"",""一次性使用中单"",""直接胆红素检测试剂盒（重氮法）"",""纤维胆道镜"",""可塑性拉钩""]"
"[""腭整形分离器"",""蓝红光治疗仪"",""下肢骨科牵引架"",""Beta钛正畸丝"",""整体反射手术无影灯"",""脊柱内固定器安装手术器械"",""钻孔器械"",""肌酸激酶MB同功酶测定试剂盒（免疫抑制法)"",""一次性使用中心静脉导管包"",""医用分子筛制氧供气系统"",""基础培养基"",""创可贴"",""去冠器"",""定制式活动义齿"",""定制式活动义齿""]"
"[""手动轮椅车"",""定制式固定义齿"",""免疫球蛋白IgM定量测定试剂盒(免疫比浊法)"",""痔漏探针"",""全自动生化分析仪"",""一次性直线形吻合器及钉仓"",""数字化医用"",""医用拐杖"",""手摇式三折病床"",""医用脱脂绷带"",""直型腿部牵引器"",""KLP椎板成形系统安装器械包"",""φ6、φ7.3空心钉安装器械包"",""骨折复位专用器械"",""颈椎后路内固定专用器械""]"
"[""紫外线光疗仪"",""一次性使用吸痰管"",""牙科用钴铬烤瓷合金圆盘（商品名：JINBEGO"",""抽芯担架"",""楼梯担架"",""JY系列电动移位车"",""咽喉镜"",""一次性咬口（咬咀、牙垫）"",""X射线摄影/透视高频高压发生器"",""低密度脂蛋白胆固醇（LDL-C）测定试剂（盒）（直接消除法）"",""乳酸脱氢酶（LDH）测定试剂（盒）（LD—L法）"",""载脂蛋白A1（ApoA1）测定试剂盒（免疫透射比浊法）"",""D—二聚体（D—dimer）测定试剂盒（化学发光法）"",""医用注射泵"",""支撑喉镜""]"
"[""气管异物手术器械包"",""人心型脂肪酸结合蛋白（H—FABP）检测试剂（双向侧流免疫法）"",""低密度脂蛋白胆固醇（LDL—C）测定试剂盒（直接测定法）"",""骨牵引针"",""牙龈剪"",""一次性使用麻醉气路过滤器"",""一次性使用吸痰管"",""肌腱剥离器"",""胆道剪"",""定制式活动义齿"",""X射线胶片洗片机"",""妇产科综合床"",""打拔器"",""医用镊"",""医用拉钩""]"
"[""一次性使用垫单"",""医用纯无油空气压缩机"",""婴儿护理床"",""妇产科检查床"",""组织钳"",""气管切开插管"",""手术无影灯"",""扁桃体止血钳"",""纤维咽喉镜"",""多功能通气面罩"",""手术薄膜(II型)(Steri"",""λ-轻链测定试剂盒(免疫比浊法)"",""抗缪勒氏管激素(AMH)定量检测试剂盒(酶联免疫法)"",""免疫球蛋白IgM试剂盒(散射免疫比浊法)"",""医用脱脂纱布制品""]"
"[""丙氨酸氨基转移酶(ALT)测定试剂盒(IFCC法)"",""一次性使用无菌口罩(薄型粘合法非织造布)"",""一次性使用无菌导尿包(薄型粘合法非织造布)"",""β2-微球蛋白（β2-MG)测定试剂盒（胶乳凝集反应法)"",""胆固醇测定试剂盒（酶法)"",""定制式固定义齿"",""医用脱脂折叠棉"",""天门冬氨酸氨基转移酶（AST)测定试剂盒（连续监测法)"",""负压废液收集袋组"",""医用激光打印机(商品名：天秤一号)"",""YBC系列综合产床"",""防褥疮垫"",""医用脱脂棉"",""KYF-2006系列半自动生化分析仪"",""医用外固定支具""]"
"[""子宫刮"",""载脂蛋白A1(APOA1)测定试剂盒(免疫透射比浊法)"",""直接胆红素(BIL-D)测定试剂盒(钒酸盐氧化法)"",""手术无影灯"",""医用缝合针"",""一次性使用门诊手术包"",""简易呼吸器"",""一次性使用胃管"",""一次性使用无球囊导尿管"",""医用喉罩"",""骨钙素N端中分子片段检测试剂盒（酶联免疫法）"",""医学影像打印胶片"",""颌外牵引装置"",""巴氏染色液试剂盒"",""一次性使用手术帽""]"
"[""薄膜手套"",""腹腔镜配套手术器械"",""运送培养基"",""一次性使用中单（产垫）"",""心脏手术剪"",""甲状腺剪"",""一次性使用手术衣"",""电动子宫切除器及配套手术器械"",""一次性使用导管固定器"",""一次性使用二氧化碳鼻氧管"",""革兰氏阴性杆菌药敏试纸盒"",""医用敷料垫"",""骨撬"",""铰刀"",""软性亲水接触镜""]"
"[""人感染H7亚型禽流感病毒（2013)抗原检测试剂（胶体金法)"",""钉孔清除器"",""颈椎椎体牵开器"",""牙科模型蜡"",""前列腺拉钩"",""关节镜"",""脚踏吸引器"",""一次性吻合器"",""一次性使用麻醉机和呼吸机用呼吸管路"",""一次性使用无菌口腔护理器械包(薄型粘合法非织造布)"",""轮式助行架"",""一次性使用卫生垫单"",""骨牵引针"",""定制式活动义齿"",""自粘弹力绷带""]"
"[""经济棉布自粘弹力绷带(Economic"",""妇科冲洗器"",""骨科牵引床"",""一次性使用电凝切割器（外科术中止血装置）"",""一次性使用荷包钳"",""手摇三折病床"",""一次性使用输液采血护理包"",""一次性使用口腔器械盒"",""手提式压力蒸汽灭菌器"",""干式激光成像仪"",""α-羟丁酸脱氢酶测定试剂盒(连续监测法)"",""输液监测仪"",""一次性使用绑腿式防返流引流袋"",""舌钳"",""咬骨钳""]"
"[""SYX6A显微手术镊器械包"",""一次性使用清创缝合换药包"",""抗链球菌溶血素O测定试剂盒(胶乳增强透射比浊法)"",""抗链球菌溶血素O测定试剂盒(免疫比浊法)"",""铁测定试剂盒(铬天青B法)"",""低密度脂蛋白胆固醇检测试剂盒(直接法)"",""丙氨酸氨基转移酶检测试剂盒（速率法）"",""YJ系列无油空气压缩机"",""低频推拿理疗仪"",""低密度脂蛋白胆固醇测定试剂盒(化学抑制酶法)"",""胎儿/母亲监护仪"",""彩色多普勒超声系统"",""固定修复体"",""活动修复体"",""丙氨酸氨基转移酶测定试剂盒（连续监测法/单试剂型）""]"
"[""一次性使用换药包"",""全自动生物组织脱水机"",""尿微量白蛋白（mALB）检测试剂盒（散射比浊法）"",""血糖仪（商品名：GLUCOCARD"",""直型金属接骨板"",""全自动血液分析仪"",""TC型基因扩增仪"",""脱敏凝胶"",""病人推车"",""骨折内固定器械包"",""包茎术后保护架"",""医用X射线感蓝胶片"",""根管充填器"",""透气透明敷贴（商品名：欣菲)"",""一次性使用胃管""]"
"[""立式摄片架"",""丝线编织非吸收性缝线"",""乳酸脱氢酶测定试剂盒(L-P动力学法)"",""肌酸激酶测定试剂盒(IFCC推荐方法)"",""胆碱酯酶(CHE)测定试剂盒(速率法)"",""高密度脂蛋白胆固醇(HDL-C)测定试剂盒"",""吸水垫(商品名：速洁)"",""侧面操纵式综合手术台"",""立式手术无影灯"",""LED吊式手术无影灯"",""钢丝剪"",""眼球固定器"",""氦氖激光治疗仪"",""自粘式伤口护垫"",""一次性使用无菌阴道扩张器""]"
"[""抗甲状腺过氧化物酶抗体测定试剂盒(酶免法)"",""穴位贴"",""医用消毒棉片"",""HR定制式义齿"",""医用分子筛制氧供气系统"",""肠内营养泵"",""一次性使用真空采血管"",""全自动根管治疗机(商品名：Tri"",""ABS病床"",""胆管结石刮除器"",""全自动生化分析仪"",""FISH处理液"",""真菌检测荧光染色液"",""XC系列医用弹力固定套(带)"",""一次性使用止血带""]"
"[""一次性使用拆线包"",""一次性使用止血带"",""一次性使用引流袋"",""一次性使用医用垫单"",""全自动生化分析仪"",""碱性磷酸酶(ALP)测定试剂盒(IFCC)"",""钙测定试剂盒(偶氮胂法)"",""血糖测定试剂盒(己糖激酶法)"",""医用外科口罩"",""视频脑电图仪"",""非吸收性外科缝线(医用聚丙烯单丝线)"",""听觉功能检测处理系统"",""一次性包皮环切吻合钳"",""肘关节矫形器"",""膝关节矫形器""]"
"[""医用石膏棉纸"",""一次性使用妇检护理包"",""C反应蛋白测定试剂盒（免疫透射比浊法）"",""α—羟丁酸脱氢酶测定试剂盒（DGKC推荐法）"",""超声彩色多普勒诊断仪"",""推车式全数字彩色超声诊断系统"",""医用防护眼镜（商品名：白内障术后镜）"",""加压和保护性接骨板"",""肠内营养输液器"",""眼眶测量器"",""胸腰骶固定矫形器"",""一次性手术敷料包"",""肌酸激酶同工酶测定试剂盒（免疫抑制法）"",""医用"",""大隐静脉剥离器""]"
"[""LED吊式手术无影灯"",""水枪头"",""总胆固醇测定试剂盒（酶偶联比色法/双试剂型）"",""无机磷检测试剂盒（直接紫外法)"",""天冬氨酸氨基转移酶检测试剂盒（IFCC法)"",""喉头喷雾器"",""眼内异物爪"",""齿科咬合纸"",""碘伏棉球"",""酒精棉片(球)"",""一次性使用PE手套"",""磁疗热灸多功能眼科治疗仪"",""尿液分析试纸"",""耳内窥镜"",""医用电动石膏切割器""]"
"[""复位钳"",""骨锤"",""Devine-TL5.5"",""一次性使用水冷不沾电凝镊"",""冲洗器"",""医用喷墨彩色打印胶片"",""巩膜剪"",""干式激光成像仪"",""颈椎钢板器械包"",""锁定钢板器械包"",""MK-Z系列诊查床"",""骨锉"",""一次性使用配药用注射器"",""KSS系列综合手术台"",""YL系列一次性使用双极手术电极""]"
"[""胰岛素测定试剂盒(胶乳免疫比浊法)"",""载脂蛋白A1、B试剂盒(单试剂)(免疫比浊法)"",""脂蛋白a检测试剂盒(乳胶增强免疫透射比浊法)"",""酶标仪"",""LEO-5201系列全自动酶免疫分析系统"",""注射笔"",""医用检查灯"",""腿部牵引器"",""一次性使用引流管"",""一次性使用胃镜检查包"",""耳蜗镊"",""OM-810系列医用头灯"",""细菌鉴定及药敏测试仪"",""支原体培养鉴定计数药敏试剂盒"",""雌二醇(E2)诊断试剂盒(化学发光法)""]"
"[""固定修复体"",""胸腰椎后路内固定系统器械包"",""产前筛查风险评估软件"",""心电管理系统"",""冰袋冰盒"",""一次性使用负压球"",""废液收集袋"",""金属锁定接骨板愛派司金屬鎖定骨釘骨板系統組"",""电动手术台"",""供氧系统氧气吸入器"",""一次性使用湿化瓶"",""一次性使用手术电极"",""铝合金救护担架车"",""YG医用石膏衬垫"",""排便清肠器""]"
"[""耳鼻喉综合治疗台"",""移动式医用X射线机"",""导管固定贴布"",""164一次性医用棉球"",""医用输液贴"",""膜瓣镊"",""医用防辐射裙"",""阴道冲洗器"",""CS系列全自动生化分析仪"",""整体反射诊断照明灯"",""胱氨酸蛋白酶抑制剂C测定试剂盒(免疫浊度法)"",""铁粒染色试剂盒"",""升降式床"",""β2-微球蛋白测定试剂盒(胶乳增强免疫透射比浊法)"",""ENA抗体测定试剂盒(免疫线迹法)""]"
"[""数字化动态尿液监测仪"",""真菌分离培养基(培养法)"",""自动微生物分析系统"",""无纺布透气胶带"",""高速冷冻离心机"",""输液泵"",""脉搏波速测定仪"",""医用透气胶粘带"",""纱布绷带剪"",""定制式固定义齿"",""医用冷疗擦剂"",""TL-BJ血细胞分析仪用染色剂(商品名：染色剂)"",""医用镊"",""不锈钢医用推车"",""肌酸激酶(CK)测定试剂盒(IFCC法)""]"
